Diet_type,Recipe_name,Cuisine_type,Protein(g),Carbs(g),Fat(g),Extraction_day,Extraction_time
paleo,bone broth from nom nom,american,5.22,1.29,3.2,2022-10-16,17:20:09
paleo,effect asian glazed pork sides sweet crispy appetizer,south east asian,181.55,28.62,146.14,2022-10-16,17:20:09
paleo,pumpkin pie,american,30.91,302.59,96.76,2022-10-16,17:20:09
paleo,strawberry guacamole,mexican,9.62,75.78,59.89,2022-10-16,17:20:09
paleo,asian cauliflower fried rice from nom nom,chinese,39.84,54.08,71.55,2022-10-16,17:20:09
paleo,shrimp stuffed mushrooms,mediterranean,68.62,34.15,42.44,2022-10-16,17:20:09
paleo,pumpkin pie,american,30.03,275.88,97.68,2022-10-16,17:20:09
paleo,autoimmune pesto,italian,4.25,14.15,72.9,2022-10-16,17:20:09
paleo,baked banana chip encrusted french toast,french,152.88,1874.52,385.8,2022-10-16,17:20:09
paleo,vietnamese pho pressure cooker noodle soup,south east asian,602.91,274.87,400.01,2022-10-16,17:20:09
paleo,collard burrito,mexican,44.62,28.66,78.46,2022-10-16,17:20:09
paleo,chawanmushi savory egg custard,american,61.43,13.29,24.6,2022-10-16,17:20:09
paleo,banana bread,american,46.69,192.54,156.48,2022-10-16,17:20:09
paleo,leftover turkey sandwich,american,54.09,34.97,14.1,2022-10-16,17:20:16
paleo,pumpkin waffles,american,51.24,89.63,78.38,2022-10-16,17:20:16
paleo,fudgy brownies,french,64.29,263.65,176.36,2022-10-16,17:20:16
paleo,magic wings,american,320.76,28.36,252.82,2022-10-16,17:20:16
paleo,turkey club sandwich,american,46.92,39.94,19.6,2022-10-16,17:20:16
paleo,meatloaf,american,185.99,47.82,260.64,2022-10-16,17:20:16
paleo,crepes,french,15.73,15.91,49.16,2022-10-16,17:20:16
paleo,chocolate pecan pie,american,59.86,567.39,320.76,2022-10-16,17:20:16
paleo,simple crab salad,american,82.1,4.75,20.24,2022-10-16,17:20:16
paleo,chocolate pecan pie,american,54.7,503.39,320.12,2022-10-16,17:20:16
paleo,asian meatballs,indian,167.07,55.11,210.14,2022-10-16,17:20:16
paleo,blueberry french toast casserole,french,78.59,290.1,84.95,2022-10-16,17:20:16
paleo,spanish rice,mediterranean,28.67,64.13,37.71,2022-10-16,17:20:23
paleo,whole sriracha,south east asian,12.16,85.78,2.91,2022-10-16,17:20:23
paleo,banana cream pie,american,17.85,215.69,304.25,2022-10-16,17:20:23
paleo,spicy salmon cucumber bites,nordic,49.84,17.2,75.62,2022-10-16,17:20:23
paleo,blueberry french toast casserole,french,78.59,290.1,84.95,2022-10-16,17:20:23
paleo,honey cake,eastern europe,87.32,258.25,259.21,2022-10-16,17:20:23
